TransactionID,AccountID,Type,Category,Subcategory,Amount,Date,Status,InvoiceNumber,RecipientID
T3247,1,Income,Freelance,Freelance,3219.28,10/07/2023,Pending,NULL,NULL
T3083,2,Expense,Transport,Transport,2172.87,10/07/2023,Completed,NULL,NULL
T1741,2,Expense,Food,Food,1765.405,19/10/2023,Pending,INV-7138,NULL
T2276,2,Expense,Groceries,Groceries,100.745,24/03/2023,Pending,NULL,NULL
T3163,2,Income,Bonus,Bonus,4846.68,01/03/2023,Pending,NULL,NULL
T1336,1,Expense,Food,Food,1894.92,11/09/2023,Completed,INV-2981,NULL
T3530,2,Expense,Beauty,Beauty,1534.375,15/09/2023,Pending,NULL,NULL
T1937,1,Expense,Taxes,Taxes,2162.635,20/10/2023,Cancelled,NULL,NULL
T3809,1,Income,Bonus,Bonus,2573.04,10/02/2023,Pending,NULL,NULL
T4635,1,Income,Freelance,Freelance,464.89,14/03/2024,Completed,NULL,NULL
T7842,2,Income,Property Rental,Property Rental,551.96,09/04/2023,Cancelled,NULL,NULL
T2541,1,Income,Freelance,Freelance,588.22,03/03/2023,Pending,NULL,NULL
T5395,2,Expense,Transport,Transport,1388.755,13/03/2024,Cancelled,NULL,NULL
T6244,2,Income,Salary,Salary,3922.47,31/01/2023,Cancelled,NULL,NULL
T1042,1,Expense,Transport,Transport,607.84,14/04/2023,Pending,NULL,NULL
T6119,1,Expense,Food,Food,2487.905,12/09/2023,Pending,NULL,NULL
T8867,2,Expense,Utilities,Utilities,894.765,06/05/2023,Pending,NULL,NULL
T9004,2,Income,Bonus,Bonus,1066.86,15/08/2023,Completed,NULL,NULL
T7499,1,Expense,Groceries,Groceries,1201.47,04/07/2023,Pending,NULL,NULL
T8296,1,Expense,Transport,Transport,689.06,15/01/2023,Completed,NULL,NULL
T5487,2,Income,Bonus,Bonus,1936.8,14/07/2023,Cancelled,NULL,NULL
T7149,1,Income,Property Rental,Property Rental,4524.79,27/08/2023,Cancelled,NULL,NULL
T5276,2,Expense,Transport,Transport,979.655,21/04/2024,Pending,INV-1748,NULL
T3620,2,Income,Salary,Salary,3188.02,06/10/2023,Completed,NULL,NULL
T1723,1,Income,Freelance,Freelance,659.51,09/07/2023,Cancelled,NULL,NULL
T2818,1,Income,Freelance,Freelance,3331.98,03/08/2023,Cancelled,NULL,NULL
T6162,2,Expense,Entertainment,DSTV,1028.985,19/07/2023,Completed,INV-3017,NULL
T6318,2,Income,Property Rental,Transfer In,4143.02,07/08/2023,Completed,NULL,NULL
T7848,1,Income,Freelance,Freelance,1870.08,18/08/2023,Cancelled,NULL,NULL
T2329,2,Expense,Sending Money to Family,Sending Money to Family,500.33,18/09/2023,Pending,INV-8031,R0006
T4098,2,Income,Shopify Store,Shopify Store,4991.9,28/01/2024,Cancelled,NULL,NULL
T1248,1,Expense,Taxes,Taxes,1554.02,24/11/2023,Pending,NULL,NULL
T9771,1,Income,Property Rental,Property Rental,136.56,18/11/2023,Completed,NULL,NULL
T4517,2,Expense,Utilities,Utilities,176.395,20/04/2024,Pending,INV-8481,NULL
T6257,2,Income,Shopify Store,Shopify Store,1310.44,17/01/2024,Completed,NULL,NULL
T1443,2,Income,Salary,Salary,842.97,04/10/2023,Completed,NULL,NULL
T7427,1,Expense,Sending Money to Family,Sending Money to Family,73.8,31/08/2023,Cancelled,NULL,R0008
T1208,1,Income,Bonus,Bonus,2391.81,03/10/2023,Completed,NULL,NULL
T5374,1,Income,Property Rental,Property Rental,270.41,10/04/2024,Cancelled,NULL,NULL
T1239,1,Income,Freelance,Freelance,998.49,31/01/2024,Cancelled,NULL,NULL
T7218,1,Expense,Entertainment,Adobe,405.88,04/08/2024,Cancelled,NULL,NULL
T8799,1,Expense,Food,Food,434.445,27/06/2023,Completed,INV-5088,NULL
T9450,1,Expense,Food,Food,870.335,15/07/2023,Pending,NULL,NULL
T9872,1,Income,Freelance,Freelance,2009.83,14/09/2023,Completed,NULL,NULL
T7625,2,Expense,Taxes,Taxes,1324.38,11/05/2024,Cancelled,NULL,NULL
T5955,2,Expense,Transport,Transport,1090.94,20/01/2023,Completed,NULL,NULL
T6885,2,Expense,Food,Food,126.41,14/01/2023,Cancelled,INV-6735,NULL
T6076,1,Expense,Groceries,Groceries,994.385,17/07/2024,Completed,NULL,NULL
T8758,2,Expense,Sending Money to Family,Sending Money to Family,2395.9,12/03/2024,Cancelled,NULL,R0008
T1002,1,Expense,Taxes,Taxes,887.08,18/03/2024,Completed,INV-3653,NULL
T6576,2,Income,Salary,Salary,678.85,17/09/2023,Completed,NULL,NULL
T5100,2,Expense,Groceries,Groceries,1821.945,27/05/2023,Cancelled,NULL,NULL
T2920,1,Expense,Beauty,Beauty,192.525,09/05/2023,Completed,INV-3213,NULL
T2122,2,Income,Salary,Salary,1923.63,01/05/2023,Pending,NULL,NULL
T7022,1,Expense,Utilities,Utilities,1914.535,23/08/2023,Completed,NULL,NULL
T2598,2,Income,Shopify Store,Shopify Store,2788.02,25/05/2023,Pending,NULL,NULL
T5059,1,Income,Shopify Store,Shopify Store,4783.81,08/10/2023,Pending,NULL,NULL
T1899,2,Expense,Sending Money to Family,Sending Money to Family,1731.2,21/07/2023,Pending,NULL,R0004
T8966,2,Expense,Food,Food,1044.155,19/12/2023,Cancelled,NULL,NULL
T4221,2,Income,Shopify Store,Shopify Store,2325.74,24/01/2023,Cancelled,NULL,NULL
T9768,1,Income,Salary,Salary,1062.29,08/01/2024,Pending,NULL,NULL
T9412,1,Expense,Food,Food,1535.04,17/01/2023,Cancelled,NULL,NULL
T4537,2,Income,Shopify Store,Shopify Store,1574.73,30/09/2023,Pending,NULL,NULL
T4908,1,Expense,Entertainment,DSTV,498.175,11/09/2023,Cancelled,INV-9152,NULL
T9889,2,Expense,Sending Money to Family,Sending Money to Family,1212.33,30/11/2023,Pending,NULL,R0003
T9644,2,Income,Bonus,Bonus,3052.77,04/07/2024,Completed,NULL,NULL
T9672,1,Expense,Groceries,Groceries,214.605,30/05/2023,Cancelled,INV-1622,NULL
T5039,1,Expense,Taxes,Taxes,565.655,27/06/2024,Pending,INV-5849,NULL
T8330,2,Expense,Entertainment,Adobe,2467.285,26/09/2023,Cancelled,INV-7168,NULL
T5518,1,Expense,Taxes,Taxes,2325.285,06/05/2024,Pending,INV-7477,NULL
T7520,1,Income,Freelance,Freelance,2590.72,30/04/2023,Cancelled,NULL,NULL
T7594,1,Expense,Sending Money to Family,Sending Money to Family,1902.4,11/09/2023,Completed,INV-9428,R0009
T4350,1,Income,Bonus,Bonus,2791.36,06/09/2023,Cancelled,NULL,NULL
T3441,1,Income,Salary,Salary,1492.34,09/06/2024,Pending,NULL,NULL
T8194,2,Income,Bonus,Bonus,2108.82,09/03/2023,Pending,NULL,NULL
T3478,2,Expense,Transport,Transport,1957.33,22/04/2023,Cancelled,INV-3949,NULL
T9563,2,Income,Shopify Store,Shopify Store,4638.08,29/11/2023,Pending,NULL,NULL
T8508,1,Expense,Sending Money to Family,Sending Money to Family,1799.08,07/12/2023,Pending,NULL,R0003
T7177,2,Expense,Food,Food,221.055,13/06/2023,Cancelled,INV-6576,NULL
T1002,2,Expense,Transport,Transport,362.74,03/08/2024,Cancelled,INV-3487,NULL
T2850,2,Expense,Utilities,Utilities,1624.025,02/11/2023,Completed,NULL,NULL
T4909,1,Expense,Entertainment,Amazon,599.01,30/03/2023,Completed,NULL,NULL
T7167,2,Income,Freelance,Freelance,2000.2,26/02/2024,Cancelled,NULL,NULL
T9111,2,Expense,Transport,Transport,1846.095,21/01/2023,Cancelled,INV-3299,NULL
T4278,2,Expense,Taxes,Taxes,961.355,22/03/2024,Completed,INV-8272,NULL
T9975,1,Income,Shopify Store,Shopify Store,4588.35,26/05/2023,Pending,NULL,NULL
T6728,2,Expense,Entertainment,DSTV,1694.82,11/12/2023,Completed,INV-3702,NULL
T9572,1,Income,Freelance,Freelance,4452.71,26/07/2024,Completed,NULL,NULL
T3239,2,Expense,Utilities,Utilities,466.985,14/06/2024,Cancelled,NULL,NULL
T5401,2,Expense,Taxes,Taxes,594.105,15/07/2024,Pending,NULL,NULL
T7955,2,Expense,Food,Food,1870.765,05/11/2023,Completed,NULL,NULL
T7011,2,Expense,Utilities,Utilities,2106.24,14/03/2024,Completed,INV-8107,NULL
T9032,1,Expense,Entertainment,Adobe,1444.115,02/05/2023,Pending,INV-8219,NULL
T3452,2,Expense,Entertainment,Adobe,1875.33,06/02/2023,Cancelled,INV-2976,NULL
T2075,1,Income,Freelance,Freelance,1758.32,07/06/2023,Cancelled,NULL,NULL
T9776,1,Income,Bonus,Bonus,1369.52,21/04/2024,Cancelled,NULL,NULL
T6602,1,Expense,Transport,Transport,1023.95,14/02/2023,Cancelled,INV-6944,NULL
T9918,1,Expense,Transport,Transport,1759.585,28/05/2023,Completed,INV-1891,NULL
T7306,1,Expense,Food,Food,446.34,19/02/2023,Cancelled,INV-2969,NULL
T5225,1,Income,Salary,Salary,3149.86,11/10/2023,Completed,NULL,NULL
T2318,2,Income,Shopify Store,Shopify Store,2226.08,01/11/2023,Completed,NULL,NULL
T6904,1,Income,Salary,Salary,4446.61,29/06/2024,Completed,NULL,NULL
T7901,1,Expense,Entertainment,Apple,266.45,26/06/2023,Pending,NULL,NULL
T3201,1,Expense,Entertainment,DSTV,1522.42,03/03/2023,Cancelled,INV-6561,NULL
T8526,2,Expense,Transport,Transport,61.82,05/08/2023,Pending,NULL,NULL
T8125,1,Income,Freelance,Freelance,2959.67,26/08/2024,Pending,NULL,NULL
T5486,1,Income,Bonus,Bonus,1578.11,15/07/2023,Completed,NULL,NULL
T9281,2,Income,Freelance,Freelance,932.93,02/07/2023,Cancelled,NULL,NULL
T5365,1,Income,Freelance,Freelance,3914.45,11/08/2024,Pending,NULL,NULL
T9293,2,Expense,Food,Food,208.05,02/04/2024,Cancelled,NULL,NULL
T6133,2,Income,Shopify Store,Shopify Store,622.62,16/04/2023,Cancelled,NULL,NULL
T8796,2,Income,Salary,Salary,1620.58,22/08/2024,Completed,NULL,NULL
T2193,2,Expense,Sending Money to Family,Sending Money to Family,1746.095,09/03/2024,Cancelled,INV-6001,R0004
T6162,1,Income,Property Rental,Property Rental,207.05,30/07/2023,Pending,NULL,NULL
T6754,1,Expense,Food,Food,419.87,12/01/2023,Completed,NULL,NULL
T6211,2,Expense,Entertainment,Netflix,476.465,16/12/2023,Pending,INV-1036,NULL
T3814,2,Income,Salary,Salary,500.92,05/06/2023,Pending,NULL,NULL
T6991,1,Expense,Sending Money to Family,Sending Money to Family,103.98,18/02/2024,Pending,NULL,R0008
T8527,2,Expense,Taxes,Taxes,792.965,21/01/2023,Pending,NULL,NULL
T7269,2,Income,Freelance,Freelance,753.76,17/09/2023,Pending,NULL,NULL
T7256,1,Income,Shopify Store,Shopify Store,864.84,19/02/2024,Pending,NULL,NULL
T1132,2,Expense,Taxes,Taxes,155.21,07/11/2023,Cancelled,INV-9875,NULL
T2162,1,Expense,Beauty,Beauty,1371.535,13/02/2024,Pending,INV-7370,NULL
T1822,2,Income,Salary,Salary,1279.4,25/06/2024,Cancelled,NULL,NULL
T1527,1,Income,Shopify Store,Shopify Store,1618.43,22/03/2024,Completed,NULL,NULL
T3478,1,Income,Bonus,Bonus,1612.81,15/08/2023,Completed,NULL,NULL
T2796,1,Income,Property Rental,Property Rental,4302.14,09/12/2023,Cancelled,NULL,NULL
T3002,1,Income,Shopify Store,Shopify Store,1384.66,16/07/2024,Completed,NULL,NULL
T1506,2,Expense,Food,Food,806.3,23/01/2023,Pending,NULL,NULL
T7878,1,Expense,Transport,Transport,2202.58,26/04/2023,Pending,NULL,NULL
T4806,1,Expense,Groceries,Groceries,509.195,02/05/2024,Cancelled,NULL,NULL
T7218,1,Expense,Utilities,Utilities,783.015,27/07/2024,Cancelled,NULL,NULL
T2712,2,Expense,Transport,Transport,451.72,15/05/2024,Completed,INV-5284,NULL
T2947,2,Expense,Entertainment,DSTV,1332.82,10/07/2024,Cancelled,NULL,NULL
T5562,1,Income,Freelance,Freelance,3088.63,16/06/2023,Completed,NULL,NULL
T8766,1,Income,Property Rental,Property Rental,2123.07,30/01/2024,Completed,NULL,NULL
T5393,2,Income,Property Rental,Property Rental,4136.16,27/02/2023,Pending,NULL,NULL
T4977,1,Expense,Food,Food,1695.32,08/09/2023,Pending,INV-2773,NULL
T8491,1,Income,Shopify Store,Shopify Store,1798.73,05/08/2024,Pending,NULL,NULL
T9587,2,Income,Freelance,Freelance,971.93,03/04/2023,Completed,NULL,NULL
T4502,1,Income,Shopify Store,Shopify Store,2693.06,27/02/2023,Completed,NULL,NULL
T4606,2,Expense,Food,Food,1936.955,22/08/2023,Cancelled,NULL,NULL
T7590,2,Income,Property Rental,Property Rental,1520.63,20/05/2024,Pending,NULL,NULL
T1241,1,Expense,Taxes,Taxes,1174.21,20/05/2023,Completed,NULL,NULL
T7097,1,Income,Salary,Salary,2621.54,08/01/2023,Completed,NULL,NULL
T9587,1,Expense,Transport,Transport,2291.13,19/06/2024,Cancelled,INV-2365,NULL
T7732,2,Income,Salary,Salary,4435.14,03/12/2023,Completed,NULL,NULL
T9466,2,Income,Salary,Salary,1130.1,01/10/2023,Completed,NULL,NULL
T3373,2,Expense,Entertainment,Apple,1468.09,27/01/2024,Cancelled,INV-8382,NULL
T9738,1,Income,Bonus,Transfer In,4786.55,18/05/2024,Cancelled,NULL,NULL
T1917,1,Expense,Groceries,Groceries,1144.965,28/04/2023,Pending,INV-4183,NULL
T2430,2,Expense,Taxes,Taxes,1485.325,16/07/2023,Cancelled,INV-9654,NULL
T2393,2,Expense,Food,Food,417.345,03/07/2023,Completed,INV-8361,NULL
T6766,2,Income,Freelance,Freelance,1438.46,03/05/2024,Cancelled,NULL,NULL
T1081,1,Expense,Taxes,Taxes,2385.12,04/04/2024,Completed,NULL,NULL
T6494,1,Income,Shopify Store,Shopify Store,3010.15,28/11/2023,Pending,NULL,NULL
T1235,1,Expense,Beauty,Beauty,235.31,07/08/2024,Pending,INV-7662,NULL
T8985,2,Expense,Groceries,Groceries,655.15,04/09/2023,Pending,NULL,NULL
T8617,1,Expense,Utilities,Utilities,715.63,11/01/2023,Cancelled,INV-2566,NULL
T6051,2,Expense,Utilities,Utilities,1615.46,05/06/2024,Pending,INV-2657,NULL
T4944,2,Expense,Transport,Transport,1630.98,30/07/2023,Cancelled,INV-8996,NULL
T7731,2,Expense,Sending Money to Family,Sending Money to Family,2250.455,24/08/2024,Completed,NULL,R0005
T9888,2,Income,Freelance,Freelance,1689.23,13/05/2024,Cancelled,NULL,NULL
T2565,2,Expense,Utilities,Utilities,2223.64,30/01/2024,Pending,INV-7567,NULL
T7541,1,Expense,Transport,Transport,398.615,06/01/2023,Cancelled,NULL,NULL
T1651,2,Expense,Beauty,Beauty,2105.93,20/01/2024,Completed,NULL,NULL
T8501,2,Expense,Utilities,Utilities,368.65,28/05/2024,Pending,NULL,NULL
T8493,1,Income,Bonus,Bonus,3710.31,24/01/2024,Cancelled,NULL,NULL
T2216,1,Expense,Beauty,Beauty,2134.735,12/05/2023,Completed,INV-3078,NULL
T6347,1,Income,Property Rental,Property Rental,818.88,06/02/2023,Pending,NULL,NULL
T4673,1,Expense,Food,Food,826.375,08/03/2023,Completed,NULL,NULL
T4919,1,Income,Property Rental,Property Rental,4937.67,13/02/2024,Cancelled,NULL,NULL
T2849,2,Expense,Transport,Transport,1957.86,12/01/2023,Pending,NULL,NULL
T2801,1,Income,Salary,Salary,2151.59,06/10/2023,Pending,NULL,NULL
T3680,2,Income,Bonus,Bonus,2688.51,15/01/2023,Cancelled,NULL,NULL
T6010,1,Expense,Beauty,Beauty,1390.275,29/05/2023,Pending,INV-5235,NULL
T6739,2,Expense,Sending Money to Family,Sending Money to Family,1231.6,04/07/2024,Completed,INV-9362,R0003
T5143,2,Expense,Food,Food,193.06,12/07/2023,Cancelled,NULL,NULL
T4050,1,Income,Bonus,Bonus,4515.94,20/12/2023,Completed,NULL,NULL
T3350,1,Income,Freelance,Freelance,2628.61,22/05/2024,Cancelled,NULL,NULL
T4682,2,Income,Shopify Store,Shopify Store,1575.07,18/11/2023,Completed,NULL,NULL
T8428,1,Income,Shopify Store,Shopify Store,1603.98,12/08/2024,Cancelled,NULL,NULL
T3769,1,Income,Salary,Salary,157.71,29/03/2024,Pending,NULL,NULL
T7295,2,Expense,Utilities,Utilities,1784.22,28/03/2024,Pending,NULL,NULL
T4409,1,Income,Freelance,Freelance,1541.55,13/08/2024,Completed,NULL,NULL
